sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
18916439,GRENADA,-1,,1.0,APPROVED,4075642,Grenada,SNOMED,Observation,S,0,1,Location,223704007,19700101,20991231,
15150497,"KOREA, Republic of (Sth)",-1,,0.5908172130584717,APPROVED,4330323,Republic of Korea,SNOMED,Observation,S,0,1,Location,223584007,19700101,20991231,
18962905,AZERBAIJAN,-1,,1.0,APPROVED,4320316,Azerbaijan,SNOMED,Observation,S,0,1,Location,223646005,19700101,20991231,
20615889,9000,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
14823136,COLOMBIA,-1,,1.0,APPROVED,4073753,Colombia,SNOMED,Observation,S,0,1,Location,223717005,19700101,20991231,
20618336,166,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
15150503,RUSSIAN FEDERATION (NOT USSR),-1,,0.4997469484806061,UNCHECKED,4320167,Russian federation - Europe,SNOMED,Observation,S,0,1,Location,223656009,19700101,20991231,
15415333,FRANCE,-1,,1.0,APPROVED,4320324,France,SNOMED,Observation,S,0,1,Location,223666001,19700101,20991231,
14823165,MALAYSIA,-1,,1.0,APPROVED,4330325,Malaysia,SNOMED,Observation,S,0,1,Location,223591005,19700101,20991231,
14739179,SYRIA,-1,,1.0,APPROVED,4320310,Syria,SNOMED,Observation,S,0,1,Location,223617003,19700101,20991231,
20872956,912,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
15415361,CZECH REPUBLIC,-1,,1.0,APPROVED,4320163,Czech republic,SNOMED,Observation,S,0,1,Location,223636008,19700101,20991231,
14823170,KENYA,-1,,1.0,APPROVED,4075204,Kenya,SNOMED,Observation,S,0,1,Location,223534000,19700101,20991231,
15441483,ALGERIA,-1,,1.0,APPROVED,4072105,Algeria,SNOMED,Observation,S,0,1,Location,223510005,19700101,20991231,
14833637,NORWAY,-1,,1.0,APPROVED,4328758,Norway,SNOMED,Observation,S,0,1,Location,223673006,19700101,20991231,
20141338,ADELIE LAND (FRANCE),-1,,0.4177621901035309,APPROVED,4320324,France,SNOMED,Observation,S,0,1,Location,223666001,19700101,20991231,
14740470,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,-1,,1.0,APPROVED,4208477,Former Yugoslav Republic of Macedonia,SNOMED,Observation,S,0,1,Location,439341006,20090131,20991231,
14835380,NETHERLANDS,-1,,1.0,APPROVED,4320169,Netherlands,SNOMED,Observation,S,0,1,Location,223672001,19700101,20991231,
18909370,CENTRAL AFRICAN REPUBLIC,-1,,1.0,APPROVED,4073740,Central African Republic,SNOMED,Observation,S,0,1,Location,223522008,19700101,20991231,
14742831,807,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
20141353,ARGENTINIAN ANTARCTIC TERRITORY,-1,,0.5197682976722717,APPROVED,4072104,Antarctica,SNOMED,Observation,S,0,1,Location,223499005,19700101,20991231,
14835617,992 - FORMER YUGOSLAVIA NFD,-1,,0.6015424728393555,APPROVED,4075633,Yugoslavia,SNOMED,Observation,S,0,1,Location,223684004,19700101,20991231,
14743432,ESTONIA,-1,,1.0,APPROVED,4320166,Estonia,SNOMED,Observation,S,0,1,Location,223650003,19700101,20991231,
14837951,LAOS,-1,,1.0,APPROVED,4329583,Laos,SNOMED,Observation,S,0,1,Location,223590006,19700101,20991231,
18916401,FRENCH POLYNESIA (INCL TAHITI),-1,,0.5092031359672546,APPROVED,4329862,French Polynesian island,SNOMED,Observation,S,4,2,Location,223372009,19700101,20991231,
446993855,"NORTH AFRICA, NFD",-1,,0.5106602311134338,APPROVED,4073736,North African country,SNOMED,Observation,S,5,1,Location,223509000,19700101,20991231,
15662959,ECUADOR,-1,,1.0,APPROVED,4071854,Ecuador,SNOMED,Observation,S,0,1,Location,223718000,19700101,20991231,
14837982,AFGHANISTAN,-1,,1.0,APPROVED,4320153,Afghanistan,SNOMED,Observation,S,0,1,Location,223597009,19700101,20991231,
446992818,"CZECHOSLOVAKIA, NFD",-1,,0.5840541124343872,UNCHECKED,4329598,Slovakia,SNOMED,Observation,S,0,1,Location,223641000,19700101,20991231,
